sub_course,total_seats,class_schedule,class_length,enroll,evals_made,rcmd_class,rcmd_instr,study_hr_wk,avg_grade_exp,avg_grade_rec,department_name,capacity_utilization
ANAR 143,44.0,TuTh,80.0,36.0,7.0,85.7,85.7,4.5,3.57,3.33,Anthropological Archaeology,0.818
ANAR 146,80.0,TuTh,80.0,78.0,20.0,95.0,100.0,5.8,3.84,3.38,Anthropological Archaeology,0.975
ANAR 155,24.0,F,170.0,23.0,16.0,100.0,100.0,2.63,3.94,3.97,Anthropological Archaeology,0.958
ANAR 156,39.0,TuTh,80.0,36.0,10.0,80.0,100.0,4.3,3.7,3.81,Anthropological Archaeology,0.923
ANBI 121,40.0,TuTh,80.0,35.0,25.0,95.8,100.0,3.46,3.92,3.87,Anthropology Biological Anthropology,0.875
ANBI 140,44.0,MWF,50.0,38.0,11.0,90.9,90.9,3.95,3.3,2.41,Anthropology Biological Anthropology,0.864
ANBI 144,44.0,MWF,50.0,40.0,17.0,94.1,82.4,4.25,3.53,2.85,Anthropology Biological Anthropology,0.909
ANSC 101,36.0,TuTh,80.0,35.0,12.0,100.0,100.0,2.14,4.0,3.75,Anthro Sociocultural Anthropology,0.972
ANSC 137,30.0,MWF,50.0,27.0,14.0,92.9,92.3,5.07,3.64,3.33,Anthro Sociocultural Anthropology,0.9
ANSC 140,43.0,TuTh,80.0,38.0,3.0,100.0,100.0,5.17,3.5,3.24,Anthro Sociocultural Anthropology,0.884
ANSC 144,44.0,MWF,50.0,41.0,20.0,100.0,100.0,3.6,3.6,3.04,Anthro Sociocultural Anthropology,0.932
ANSC 147,41.0,MWF,50.0,35.0,22.0,77.3,81.8,4.86,3.5,3.69,Anthro Sociocultural Anthropology,0.854
ANSC 148,32.0,TuTh,80.0,29.0,20.0,90.0,90.0,4.4,3.45,2.79,Anthro Sociocultural Anthropology,0.906
ANTH 10,70.0,MWF,50.0,65.0,33.0,87.9,97.0,2.56,3.75,3.68,Anthropology,0.929
ANTH 103,125.0,TuTh,80.0,115.0,40.0,87.2,89.5,4.76,3.66,3.38,Anthropology,0.92
ANTH 107,30.0,MWF,50.0,27.0,11.0,100.0,100.0,5.3,3.8,3.89,Anthropology,0.9
ANTH 112,30.0,MWF,50.0,27.0,8.0,100.0,100.0,3.36,4.0,3.41,Anthropology,0.9
BENG 102,60.0,TuTh,80.0,45.0,23.0,61.9,57.1,5.64,3.95,3.65,Bioengineering,0.75
BENG 103B,120.0,TuTh,80.0,99.0,69.0,78.3,83.8,9.43,3.34,3.13,Bioengineering,0.825
BENG 112B,45.0,TuTh,80.0,45.0,32.0,87.5,93.8,5.94,3.61,3.74,Bioengineering,1.0
BENG 133,40.0,TuTh,80.0,38.0,36.0,94.3,100.0,8.61,3.21,3.57,Bioengineering,0.95
BENG 182,36.0,TuTh,80.0,22.0,13.0,91.7,100.0,9.17,3.67,3.71,Bioengineering,0.611
BENG 187D,60.0,W,50.0,42.0,22.0,90.9,90.9,7.68,3.82,3.95,Bioengineering,0.7
BENG 187D,60.0,W,50.0,41.0,18.0,88.2,88.2,5.21,3.76,3.9,Bioengineering,0.683
BENG 187D,60.0,W,50.0,60.0,27.0,100.0,100.0,5.14,3.92,3.91,Bioengineering,1.0
BENG 187D,60.0,W,50.0,42.0,22.0,90.9,90.9,7.68,3.82,3.95,Bioengineering,0.7
BENG 187D,60.0,W,50.0,41.0,18.0,88.2,88.2,5.21,3.76,3.9,Bioengineering,0.683
BENG 187D,60.0,W,50.0,60.0,27.0,100.0,100.0,5.14,3.92,3.91,Bioengineering,1.0
BENG 187D,60.0,W,50.0,42.0,22.0,90.9,90.9,7.68,3.82,3.95,Bioengineering,0.7
BENG 187D,60.0,W,50.0,41.0,18.0,88.2,88.2,5.21,3.76,3.9,Bioengineering,0.683
BENG 187D,60.0,W,50.0,60.0,27.0,100.0,100.0,5.14,3.92,3.91,Bioengineering,1.0
BICD 194,26.0,Th,80.0,23.0,8.0,85.7,85.7,1.36,4.0,4.0,Biology Genetics Cellular and Developmental,0.885
BIMM 182,60.0,TuTh,80.0,42.0,14.0,69.2,76.9,7.79,3.29,3.39,Biology Molecular Biology Microbiology,0.7
BIMM 194,27.0,Th,80.0,21.0,17.0,100.0,100.0,2.03,4.0,3.98,Biology Molecular Biology Microbiology,0.778
BIMM 194,27.0,Th,80.0,23.0,10.0,88.9,100.0,2.5,3.8,4.0,Biology Molecular Biology Microbiology,0.852
BIMM 194,27.0,Th,80.0,26.0,8.0,100.0,100.0,1.0,4.0,3.99,Biology Molecular Biology Microbiology,0.963
BIMM 194,27.0,F,80.0,21.0,17.0,100.0,100.0,2.03,4.0,3.98,Biology Molecular Biology Microbiology,0.778
BIMM 194,27.0,F,80.0,23.0,10.0,88.9,100.0,2.5,3.8,4.0,Biology Molecular Biology Microbiology,0.852
BIMM 194,27.0,F,80.0,26.0,8.0,100.0,100.0,1.0,4.0,3.99,Biology Molecular Biology Microbiology,0.963
BIMM 194,27.0,F,80.0,21.0,17.0,100.0,100.0,2.03,4.0,3.98,Biology Molecular Biology Microbiology,0.778
BIMM 194,27.0,F,80.0,23.0,10.0,88.9,100.0,2.5,3.8,4.0,Biology Molecular Biology Microbiology,0.852
BIMM 194,27.0,F,80.0,26.0,8.0,100.0,100.0,1.0,4.0,3.99,Biology Molecular Biology Microbiology,0.963
BIPN 162,30.0,MWF,50.0,25.0,7.0,57.1,83.3,6.79,3.71,3.72,Biology Animal Physiology and Neuroscience,0.833
BIPN 164,32.0,TuTh,80.0,28.0,20.0,75.0,85.0,7.76,3.42,3.03,Biology Animal Physiology and Neuroscience,0.875
BIPN 164,32.0,TuTh,80.0,28.0,20.0,75.0,95.0,7.76,3.42,3.03,Biology Animal Physiology and Neuroscience,0.875
BIPN 164,32.0,TuTh,80.0,28.0,20.0,75.0,85.0,7.76,3.42,3.03,Biology Animal Physiology and Neuroscience,0.875
BIPN 164,32.0,TuTh,80.0,28.0,20.0,75.0,95.0,7.76,3.42,3.03,Biology Animal Physiology and Neuroscience,0.875
BIPN 189,25.0,TuTh,80.0,23.0,7.0,85.7,100.0,3.64,3.43,3.46,Biology Animal Physiology and Neuroscience,0.92
BISP 170,30.0,Tu,110.0,28.0,13.0,100.0,92.3,1.58,4.0,3.79,Biology Special Studies,0.933
BISP 194,27.0,Tu,80.0,21.0,11.0,100.0,100.0,3.59,3.91,3.7,Biology Special Studies,0.778
BISP 194,27.0,W,80.0,21.0,11.0,100.0,100.0,3.59,3.91,3.7,Biology Special Studies,0.778
BISP 194,27.0,W,80.0,21.0,11.0,100.0,100.0,3.59,3.91,3.7,Biology Special Studies,0.778
BISP 194,27.0,Tu,80.0,21.0,11.0,100.0,100.0,3.59,3.91,3.7,Biology Special Studies,0.778
CAT 3,30.0,MWF,50.0,30.0,22.0,100.0,100.0,6.6,3.74,3.69,Culture Art and Technology,1.0
CENG 113,70.0,MWF,50.0,46.0,22.0,90.5,90.5,9.55,3.0,2.85,Chemical Engineering,0.657
CENG 113,70.0,MWF,50.0,46.0,22.0,90.5,90.5,9.55,3.0,2.85,Chemical Engineering,0.657
CENG 124B,75.0,MWF,50.0,75.0,62.0,96.8,98.4,7.03,3.54,3.89,Chemical Engineering,1.0
CENG 124B,75.0,MWF,50.0,62.0,51.0,100.0,100.0,6.26,3.7,3.94,Chemical Engineering,0.827
CENG 124B,75.0,MWF,50.0,75.0,62.0,96.8,98.4,7.03,3.54,3.89,Chemical Engineering,1.0
CENG 124B,75.0,MWF,50.0,62.0,51.0,100.0,100.0,6.26,3.7,3.94,Chemical Engineering,0.827
CENG 175,25.0,MWF,50.0,24.0,15.0,93.3,100.0,5.57,3.2,3.33,Chemical Engineering,0.96
CENG 176B,76.0,TuTh,80.0,76.0,50.0,95.6,95.6,8.36,3.47,3.43,Chemical Engineering,1.0
CENG 176B,76.0,TuTh,80.0,58.0,39.0,97.2,100.0,8.9,3.58,3.51,Chemical Engineering,0.763
CENG 176B,75.0,TuTh,80.0,58.0,39.0,97.2,100.0,8.9,3.58,3.51,Chemical Engineering,0.773
